id;name;host_id;host_name;neighbourhood;room_type;price;minimum_nights;last_review
2050662;Fira Barcelona, Gran Vía 2;10509562;Laura;la Marina de Port;Entire home/apt;77;2;27/10/2018
2052300;Seaviews,city views 1 bedroom for 4 (4pax) S2;10380563;Tendency;Diagonal Mar i el Front Marítim del Poblenou;Entire home/apt;59;3;21/10/2018
2053772;Large flat in Sagrada Familia private garden.6 pax;3038266;Ingrid;la Sagrada Família;Entire home/apt;78;2;19/10/2018
2054024;2 BD + 2 BTH WIFI VIRREINA GRACIA;1744516;Silvia;la Vila de Gràcia;Entire home/apt;145;4;15/10/2018
2054129;One bedroom Apartment Gothic (4 people);9156769;Short Stay Group;el Barri Gòtic;Entire home/apt;65;35;24/08/2018
2054538;Park Güell Apartment 2. Brand new;5057234;Pablo;la Salut;Entire home/apt;90;3;04/11/2018
2058080;Amazing 3 bed large APT  2 patios;893805;Phil And Fiona;la Vila de Gràcia;Entire home/apt;194;2;03/11/2018
2059446;Boutique Apt in the Center I;4212095;Elio / Wilken;Sant Antoni;Entire home/apt;100;2;22/10/2018
2059628;Port - Cosy flat in Born with Sea Views;3775349;Leyre;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;110;32;17/06/2016
2061434;Cozy room for rent in Barcelona;10550672;Valentina;la Vila de Gràcia;Private room;50;5;
2061767;room in nice centric apartment;5603130;Giulio;el Poble Sec;Private room;29;1;27/10/2018
2063631;Near Pl. Catalunya - 3 bdrms for 5;10380563;Tendency;la Dreta de l'Eixample;Entire home/apt;75;3;23/10/2018
2065950;Flat in the center of Barcelona;8130969;Mar;l'Antiga Esquerra de l'Eixample;Entire home/apt;105;4;19/10/2018
2068454;GOTHIC RAMBLAS 2 APARTMENT;6099660;Barcelona Bedroom;el Barri Gòtic;Entire home/apt;50;1;05/09/2018
2068875;Authentic flat in Poble Sec - Paralelo;3399123;Eberhard&Aurélie@Es-Flats;el Poble Sec;Entire home/apt;95;2;24/10/2018
2069105;BARCELONETA BEACH IV 1;6099660;Barcelona Bedroom;la Barceloneta;Entire home/apt;50;1;13/10/2018
2069228;Nice Flat in the heart of Born;1414702;Ferran;Sant Pere, Santa Caterina i la Ribera;Entire home/apt;90;31;07/06/2017
